Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
Missy Gannon,10,0,0,6,8,12.60,0,0.00,0.00,60.00,80.00,"12,672","1,267",0,"2,652"
Melinda Ring,10,0,0,4,9,14.10,0,0.00,0.00,40.00,90.00,"1,053",105,0,"3,075"
21732,10,0,0,4,10,12.50,0,0.00,0.00,40.00,100.00,580,58,0,"3,606"
Lesli Brinster,10,0,0,3,9,12.70,0,0.00,0.00,30.00,90.00,225,23,0,"4,507"
17643,10,0,0,2,9,14.20,0,0.00,0.00,20.00,90.00,625,63,0,"3,124"
Blank,10,0,0,1,5,19.33,1,0.00,0.00,11.11,55.56,264,29,0,"3,934"
Henna Blomroos,9,0,5,8,9,4.33,0,0.00,55.56,88.89,100.00,"18,143","2,016",0,"2,493"
Ragna Bygde 9,9,0,4,8,9,4.89,0,0.00,44.44,88.89,100.00,"5,279",587,0,"3,054"
Anne Matilainen,9,0,2,8,9,5.89,0,0.00,22.22,88.89,100.00,"1,615",179,0,"2,625"
Chieko Kakimoto,9,0,2,6,9,8.44,0,0.00,22.22,66.67,100.00,"2,825",314,0,"3,435"
Ohn Scoggins,9,0,1,8,9,6.33,0,0.00,11.11,88.89,100.00,"15,493","1,721",0,"2,678"
Angelica Frantz,9,0,1,7,9,6.44,0,0.00,11.11,77.78,100.00,"1,211",135,0,"2,968"
7279,9,0,0,2,7,16.11,0,0.00,0.00,22.22,77.78,329,37,0,"4,761"
8065,9,0,0,2,4,19.00,0,0.00,0.00,22.22,44.44,0,0,0,"4,615"
Jessie WestBell,8,0,1,7,7,11.13,0,0.00,12.50,87.50,87.50,"3,166",396,0,"2,995"
Patti Kunkle,8,0,1,5,8,8.88,0,0.00,12.50,62.50,100.00,200,25,0,"2,391"
Amye Jerez,8,0,1,3,8,9.75,0,0.00,12.50,37.50,100.00,375,47,0,"3,706"
Sheila Kirkham,8,0,0,5,8,10.25,0,0.00,0.00,62.50,100.00,565,71,0,"3,789"
Michelle Hoel,8,0,0,3,8,13.00,0,0.00,0.00,37.50,100.00,335,42,0,"2,965"
Michelle Frazer,8,0,0,3,7,13.75,0,0.00,0.00,37.50,87.50,"1,362",170,0,"2,265"
4146,8,0,0,1,6,15.50,0,0.00,0.00,12.50,75.00,135,17,0,"2,856"
19823,8,0,0,1,6,16.13,0,0.00,0.00,12.50,75.00,205,26,0,"2,931"
Roxanne Spencer,7,0,1,6,7,5.71,0,0.00,14.29,85.71,100.00,785,112,0,"2,363"
Teresa Mistler,7,0,1,7,7,6.14,0,0.00,14.29,100.00,100.00,677,97,0,"3,243"
Angela Martin,7,0,1,3,7,10.71,0,0.00,14.29,42.86,100.00,561,80,0,"3,302"
Deb Renner,7,0,0,7,7,6.29,0,0.00,0.00,100.00,100.00,"1,728",247,0,"3,507"
Barrett White,7,0,0,6,7,6.71,0,0.00,0.00,85.71,100.00,"1,543",220,0,"2,215"
Andi Young,7,0,0,5,7,9.00,0,0.00,0.00,71.43,100.00,290,41,0,"2,764"
Sylvia Voakes,7,0,0,3,6,12.57,0,0.00,0.00,42.86,85.71,200,29,0,"2,182"
Kat Mertsch,7,0,0,2,4,19.29,0,0.00,0.00,28.57,57.14,"5,426",775,0,"1,865"
Jennifer Ketz,7,0,0,7,7,8.43,0,0.00,0.00,100.00,100.00,833,119,0,"2,039"
Nicole Bradley,7,0,0,1,5,19.29,0,0.00,0.00,14.29,71.43,"1,503",215,0,"1,964"
Kelli Hughes,6,0,2,5,6,5.50,0,0.00,33.33,83.33,100.00,553,92,0,"2,751"
Mayu Iwasaki,6,0,1,3,4,12.50,0,0.00,16.67,50.00,66.67,"3,398",566,0,"2,079"
Nicole Frazer,6,0,1,5,6,8.50,0,0.00,16.67,83.33,100.00,"1,697",283,0,"2,389"
Ruth Steele,6,0,1,3,6,10.50,0,0.00,16.67,50.00,100.00,"1,035",173,0,"2,769"
Camilla Grundén,6,0,0,5,5,6.20,1,0.00,0.00,100.00,100.00,"1,005",201,0,"1,636"
Rika Tsukamoto,6,0,0,5,6,8.83,0,0.00,0.00,83.33,100.00,723,121,0,"1,947"
Maria Oliva,6,0,0,1,4,20.00,0,0.00,0.00,16.67,66.67,"3,631",605,0,"1,545"
46881,6,0,0,3,4,16.50,0,0.00,0.00,50.00,66.67,0,0,0,"1,951"
Sai Ananda,6,0,0,3,4,17.17,0,0.00,0.00,50.00,66.67,"4,851",809,0,"1,570"
11957,6,0,0,2,6,12.00,0,0.00,0.00,33.33,100.00,540,90,0,"1,806"
20484,6,0,0,2,4,16.50,0,0.00,0.00,33.33,66.67,0,0,0,"1,948"
3142,6,0,0,1,6,13.83,0,0.00,0.00,16.67,100.00,0,0,0,"2,235"
Joanne Gallagher,5,0,2,4,5,6.40,0,0.00,40.00,80.00,100.00,747,149,0,"1,510"
Valerie Mandujano,5,0,1,4,5,9.00,0,0.00,20.00,80.00,100.00,"9,600","1,920",0,"1,437"
Ella Hansen,5,0,1,1,3,15.00,0,0.00,20.00,20.00,60.00,"4,938",988,0,"1,315"
Gail McColl,5,0,0,3,5,9.20,0,0.00,0.00,60.00,100.00,200,40,0,"1,341"
Katy Pinkman,5,0,0,3,5,9.20,0,0.00,0.00,60.00,100.00,877,175,0,"1,569"
Kelly Knapp,5,0,0,2,5,11.60,0,0.00,0.00,40.00,100.00,0,0,0,"2,338"
Hannele Määttä,5,0,0,2,5,11.20,0,0.00,0.00,40.00,100.00,351,70,0,"1,372"
8200,5,0,0,3,5,11.20,0,0.00,0.00,60.00,100.00,956,191,0,"1,779"
2550,5,0,0,2,5,12.40,0,0.00,0.00,40.00,100.00,0,0,0,"1,507"
3235,5,0,0,1,5,13.60,0,0.00,0.00,20.00,100.00,0,0,0,"1,512"
25152,5,0,0,1,3,18.75,1,0.00,0.00,25.00,75.00,0,0,0,"1,298"
